"","codCentro","codArticulo","num_roturas","num_servicios","porcent_roturas"
"344",6402,2,1,10,10
"345",6402,72,1,10,10
"502",9705,194,1,10,10
"503",9705,574,1,10,10
"506",9768,2,1,10,10
"655",12678,185,1,10,10
"734",14352,178,1,10,10
"770",15345,4,1,10,10
"771",15345,71,1,10,10
"772",15345,504,1,10,10
"789",16126,2429,1,10,10
"813",16253,195,1,10,10
"834",16409,2429,1,10,10
"872",17616,173,1,10,10
"37",713,2,2,21,9.52
"411",7712,72,2,21,9.52
"877",20924,2,3,32,9.38
"22",617,167,1,11,9.09
"79",1347,178,1,11,9.09
"92",2232,167,1,11,9.09
"150",2740,167,1,11,9.09
"270",4395,5,1,11,9.09
"578",10878,10,2,22,9.09
"590",10945,10,1,11,9.09
"591",10945,574,1,11,9.09
"616",11678,185,1,11,9.09
"617",11678,195,1,11,9.09
"673",13540,70,1,11,9.09
"822",16299,574,1,11,9.09
"953",42294,187,1,11,9.09
"954",42307,187,1,11,9.09
"962",42729,187,1,11,9.09
"966",43042,2,1,11,9.09
"967",43042,174,1,11,9.09
"969",43058,2,1,11,9.09
"723",13757,2,3,34,8.82
"923",37146,592,3,34,8.82
"261",3929,2653,2,23,8.7
"147",2739,71,1,12,8.33
"148",2739,167,1,12,8.33
"149",2739,783,1,12,8.33
"180",2887,2,1,12,8.33
"182",2887,167,1,12,8.33
"343",6301,504,1,12,8.33
"365",6570,504,1,12,8.33
"658",13042,2,1,12,8.33
"707",13612,2,1,12,8.33
"708",13612,72,1,12,8.33
"709",13612,185,1,12,8.33
"710",13612,195,1,12,8.33
"716",13615,195,1,12,8.33
"779",15638,72,2,24,8.33
"790",16130,5,1,12,8.33
"803",16181,195,1,12,8.33
"804",16195,195,1,12,8.33
"815",16262,2,1,12,8.33
"816",16262,72,1,12,8.33
"817",16262,192,1,12,8.33
"837",16454,2653,2,24,8.33
"838",16465,195,1,12,8.33
"892",21231,167,3,36,8.33
"951",42245,187,1,12,8.33
"49",863,167,2,25,8
"81",1582,167,2,25,8
"186",2974,2977,2,25,8
"514",9792,2653,4,50,8
"40",782,195,1,13,7.69
"189",3326,167,1,13,7.69
"279",4871,178,1,13,7.69
"375",7083,2653,2,26,7.69
"472",8766,2,1,13,7.69
"610",11303,71,2,26,7.69
"620",12101,185,1,13,7.69
"621",12101,187,1,13,7.69
"742",14653,72,1,13,7.69
"743",14653,167,1,13,7.69
"774",15401,2,1,13,7.69
"775",15401,2429,1,13,7.69
"808",16224,179,1,13,7.69
"809",16224,192,1,13,7.69
"560",10591,2653,2,27,7.41
"908",36893,503,2,27,7.41
"74",964,2,1,14,7.14
"75",964,167,1,14,7.14
"76",964,574,1,14,7.14
"93",2275,184,1,14,7.14
"195",3409,167,1,14,7.14
"340",6205,686,2,28,7.14
"539",10040,2653,2,28,7.14
"630",12313,574,1,14,7.14
"631",12313,575,1,14,7.14
"632",12313,686,1,14,7.14
"647",12585,4,1,14,7.14
"648",12585,70,1,14,7.14
"649",12585,186,1,14,7.14
"685",13565,190,1,14,7.14
"701",13586,2,1,14,7.14
"733",14122,167,1,14,7.14
"798",16153,186,1,14,7.14
"823",16331,195,1,14,7.14
"824",16331,2429,1,14,7.14
"936",41616,72,1,14,7.14
"944",42188,2,1,14,7.14
"95",2279,2,2,29,6.9
"481",8973,71,2,29,6.9
"910",36901,2,2,29,6.9
"2",191,2,1,15,6.67
"19",505,71,1,15,6.67
"20",505,504,1,15,6.67
"21",505,575,1,15,6.67
"109",2384,178,1,15,6.67
"162",2773,503,1,15,6.67
"271",4679,2,2,30,6.67
"273",4679,575,2,30,6.67
"508",9776,2,2,30,6.67
"511",9776,504,2,30,6.67
"512",9776,574,2,30,6.67
"513",9776,575,2,30,6.67
"540",10075,2,1,15,6.67
"650",12624,4,1,15,6.67
"651",12624,167,1,15,6.67
"62",920,167,2,31,6.45
"499",9646,71,2,31,6.45
"501",9646,686,2,31,6.45
"184",2945,72,1,16,6.25
"190",3368,2,1,16,6.25
"192",3396,167,1,16,6.25
"193",3396,686,1,16,6.25
"212",3479,2429,3,48,6.25
"233",3767,503,3,48,6.25
"582",10884,504,1,16,6.25
"622",12113,192,1,16,6.25
"623",12113,524,1,16,6.25
"720",13657,4,1,16,6.25
"721",13657,504,1,16,6.25
"735",14567,2,1,16,6.25
"736",14567,72,1,16,6.25
"737",14567,504,1,16,6.25
"831",16362,195,1,16,6.25
"878",20924,72,2,32,6.25
"940",42176,173,1,16,6.25
"941",42176,195,1,16,6.25
"942",42176,504,1,16,6.25
"943",42176,524,1,16,6.25
"422",7763,2,2,33,6.06
"458",8574,185,2,33,6.06
"738",14586,71,2,33,6.06
"879",20928,2,2,33,6.06
"880",20928,72,2,33,6.06
"291",5490,687,5,83,6.02
"173",2850,783,3,51,5.88
"227",3739,2,1,17,5.88
"280",4878,2,1,17,5.88
"281",4878,72,1,17,5.88
"282",4878,574,1,17,5.88
"284",5129,2653,1,17,5.88
"367",6737,167,1,17,5.88
"557",10558,72,1,17,5.88
"570",10719,592,2,34,5.88
"614",11317,2653,1,17,5.88
"624",12264,173,1,17,5.88
"752",15118,574,1,17,5.88
"805",16199,504,1,17,5.88
"821",16298,195,1,17,5.88
"826",16341,2429,1,17,5.88
"839",16466,574,1,17,5.88
"840",16481,71,1,17,5.88
"841",16481,504,1,17,5.88
"842",16481,783,1,17,5.88
"15",447,575,1,18,5.56
"91",2215,167,1,18,5.56
"174",2886,2,1,18,5.56
"176",2886,167,1,18,5.56
"177",2886,504,1,18,5.56
"178",2886,575,1,18,5.56
"179",2886,686,1,18,5.56
"206",3463,2653,4,72,5.56
"275",4750,71,1,18,5.56
"276",4750,167,1,18,5.56
"376",7167,2,1,18,5.56
"377",7167,72,1,18,5.56
"446",8529,195,1,18,5.56
"485",9179,504,1,18,5.56
"541",10313,2,1,18,5.56
"572",10751,72,2,36,5.56
"605",11281,10,1,18,5.56
"618",11680,504,1,18,5.56
"748",14931,2,1,18,5.56
"749",14931,167,1,18,5.56
"138",2643,72,2,37,5.41
"140",2643,574,2,37,5.41
"141",2643,575,2,37,5.41
"638",12378,2653,2,37,5.41
"16",496,2,3,57,5.26
"47",851,167,1,19,5.26
"262",4039,71,1,19,5.26
"263",4039,167,1,19,5.26
"264",4039,574,1,19,5.26
"265",4039,686,1,19,5.26
"351",6493,72,1,19,5.26
"414",7718,167,2,38,5.26
"625",12310,71,1,19,5.26
"626",12310,72,1,19,5.26
"627",12310,574,1,19,5.26
"628",12310,575,1,19,5.26
"629",12310,686,1,19,5.26
"766",15250,167,1,19,5.26
"214",3650,2,3,58,5.17
"104",2316,174,4,78,5.13
"601",10998,167,2,39,5.13
"641",12508,574,2,39,5.13
"33",710,167,1,20,5
"34",710,783,1,20,5
"35",710,2429,1,20,5
"36",710,2653,1,20,5
"97",2280,2,1,20,5
"99",2280,184,1,20,5
"134",2608,686,4,80,5
"425",7791,72,2,40,5
"575",10802,2,1,20,5
"576",10802,72,1,20,5
"577",10802,504,1,20,5
"862",16873,181,1,20,5
"863",16873,504,1,20,5
"864",16913,72,1,20,5
"865",16913,504,1,20,5
"935",41600,195,1,20,5
"325",6012,2,2,41,4.88
"326",6012,174,2,41,4.88
"38",713,72,1,21,4.76
"42",803,72,1,21,4.76
"43",803,167,1,21,4.76
"44",803,504,1,21,4.76
"318",5908,70,1,21,4.76
"329",6161,167,1,21,4.76
"410",7712,2,1,21,4.76
"447",8530,2429,1,21,4.76
"471",8656,574,1,21,4.76
"606",11282,2,1,21,4.76
"607",11282,5,1,21,4.76
"608",11282,71,1,21,4.76
"609",11282,2653,1,21,4.76
"615",11332,2429,1,21,4.76
"674",13547,2,2,42,4.76
"675",13547,167,2,42,4.76
"884",20935,2,1,21,4.76
"313",5883,72,1,22,4.55
"314",5883,574,1,22,4.55
"455",8548,174,1,22,4.55
"468",8644,5,1,22,4.55
"469",8644,6,1,22,4.55
"470",8644,504,1,22,4.55
"579",10878,71,1,22,4.55
"580",10878,192,1,22,4.55
"652",12663,4,1,22,4.55
"653",12663,70,1,22,4.55
"654",12663,72,1,22,4.55
"850",16778,71,1,22,4.55
"253",3792,2653,5,111,4.5
"52",901,167,2,45,4.44
"359",6497,72,2,45,4.44
"86",2206,174,3,69,4.35
"348",6458,2429,1,23,4.35
"887",20936,72,1,23,4.35
"888",20936,167,1,23,4.35
"889",20936,504,1,23,4.35
"208",3479,167,2,48,4.17
"213",3479,2653,2,48,4.17
"229",3767,2,2,48,4.17
"234",3767,783,2,48,4.17
"315",5897,524,1,24,4.17
"612",11313,195,1,24,4.17
"613",11313,2583,1,24,4.17
"756",15208,2,1,24,4.17
"757",15208,72,1,24,4.17
"814",16260,185,2,48,4.17
"849",16573,2653,3,72,4.17
"525",9973,70,2,49,4.08
"526",9973,71,2,49,4.08
"70",923,575,5,123,4.07
"545",10386,174,3,74,4.05
"121",2474,2653,4,99,4.04
"496",9641,687,4,99,4.04
"48",863,72,1,25,4
"50",863,184,1,25,4
"63",921,2,1,25,4
"80",1582,2,1,25,4
"266",4040,71,1,25,4
"267",4040,575,1,25,4
"268",4040,686,1,25,4
"269",4040,2170,1,25,4
"278",4861,2,1,25,4
"394",7493,2,1,25,4
"395",7493,72,1,25,4
"521",9883,2429,1,25,4
"687",13574,70,1,25,4
"851",16801,2,1,25,4
"852",16801,167,1,25,4
"172",2850,686,2,51,3.92
"433",7860,575,5,128,3.91
"338",6165,574,3,77,3.9
"371",7083,2,1,26,3.85
"372",7083,71,1,26,3.85
"373",7083,72,1,26,3.85
"374",7083,503,1,26,3.85
"477",8893,72,1,26,3.85
"611",11303,72,1,26,3.85
"711",13613,2,1,26,3.85
"712",13613,185,1,26,3.85
"714",13613,2429,1,26,3.85
"858",16838,174,2,52,3.85
"84",1790,2653,3,79,3.8
"260",3821,575,3,79,3.8
"130",2608,174,3,80,3.75
"135",2608,2653,3,80,3.75
"165",2845,592,3,80,3.75
"403",7619,2653,3,80,3.75
"305",5859,2653,4,108,3.7
"347",6443,181,1,27,3.7
"444",8340,71,1,27,3.7
"445",8340,686,1,27,3.7
"474",8802,174,2,54,3.7
"558",10591,2,1,27,3.7
"559",10591,72,1,27,3.7
"825",16339,184,1,27,3.7
"883",20931,72,1,27,3.7
"906",36893,2,1,27,3.7
"909",36893,574,1,27,3.7
"938",41663,71,1,27,3.7
"160",2770,575,4,110,3.64
"286",5490,167,3,83,3.61
"288",5490,503,3,83,3.61
"292",5490,2653,3,83,3.61
"77",965,167,1,28,3.57
"152",2748,504,1,28,3.57
"153",2748,686,1,28,3.57
"310",5879,575,3,84,3.57
"319",5918,185,1,28,3.57
"328",6014,504,1,28,3.57
"349",6459,2,1,28,3.57
"350",6459,574,1,28,3.57
"537",10040,2,1,28,3.57
"538",10040,72,1,28,3.57
"565",10708,70,1,28,3.57
"566",10708,574,1,28,3.57
"567",10708,592,1,28,3.57
"586",10927,173,1,28,3.57
"96",2279,167,1,29,3.45
"123",2545,2,1,29,3.45
"124",2545,72,1,29,3.45
"125",2545,184,1,29,3.45
"216",3650,174,2,58,3.45
"316",5899,574,1,29,3.45
"317",5899,575,1,29,3.45
"363",6568,504,1,29,3.45
"479",8973,2,1,29,3.45
"480",8973,5,1,29,3.45
"482",8973,504,1,29,3.45
"827",16342,504,1,29,3.45
"911",36901,72,1,29,3.45
"143",2662,72,1,30,3.33
"144",2662,504,1,30,3.33
"272",4679,574,1,30,3.33
"449",8536,70,1,30,3.33
"509",9776,72,1,30,3.33
"510",9776,167,1,30,3.33
"516",9857,2,1,30,3.33
"517",9857,167,1,30,3.33
"518",9857,504,1,30,3.33
"523",9910,71,1,30,3.33
"524",9910,504,1,30,3.33
"796",16137,71,1,30,3.33
"806",16201,70,1,30,3.33
"807",16201,71,1,30,3.33
"818",16265,173,1,30,3.33
"11",418,5,1,31,3.23
"12",418,2653,1,31,3.23
"25",705,2,3,93,3.23
"187",3257,71,1,31,3.23
"188",3257,185,1,31,3.23
"404",7689,2,1,31,3.23
"419",7742,72,1,31,3.23
"420",7742,167,1,31,3.23
"421",7742,504,1,31,3.23
"500",9646,575,1,31,3.23
"717",13627,71,1,31,3.23
"718",13627,167,1,31,3.23
"719",13627,504,1,31,3.23
"322",5968,4,1,32,3.12
"323",5968,181,1,32,3.12
"464",8588,195,1,32,3.12
"465",8588,518,1,32,3.12
"662",13105,503,1,32,3.12
"753",15198,2,1,32,3.12
"754",15198,174,1,32,3.12
"755",15198,181,1,32,3.12
"562",10702,71,2,65,3.08
"644",12566,71,4,130,3.08
"894",30468,2,3,98,3.06
"895",30468,72,3,98,3.06
"898",30468,173,3,98,3.06
"116",2474,503,3,99,3.03
"536",10017,2653,3,99,3.03
"659",13066,72,1,33,3.03
"660",13066,167,1,33,3.03
"661",13066,185,1,33,3.03
"727",13805,2,1,33,3.03
"728",13805,72,1,33,3.03
"729",13805,167,1,33,3.03
"730",13805,504,1,33,3.03
"800",16172,5,1,33,3.03
"801",16172,173,1,33,3.03
"802",16172,195,1,33,3.03
"819",16266,192,1,33,3.03
"881",20928,167,1,33,3.03
"368",6876,2,1,34,2.94
"369",6876,72,1,34,2.94
"396",7570,167,1,34,2.94
"397",7570,504,1,34,2.94
"417",7741,2,1,34,2.94
"418",7741,504,1,34,2.94
"568",10719,2,1,34,2.94
"569",10719,574,1,34,2.94
"724",13757,72,1,34,2.94
"725",13757,167,1,34,2.94
"726",13757,574,1,34,2.94
"764",15210,186,1,34,2.94
"919",37146,71,1,34,2.94
"920",37146,174,1,34,2.94
"921",37146,181,1,34,2.94
"922",37146,186,1,34,2.94
"932",41026,575,3,102,2.94
"384",7175,2,2,69,2.9
"385",7175,503,2,69,2.9
"758",15209,2,2,69,2.9
"218",3652,71,1,35,2.86
"219",3652,174,1,35,2.86
"220",3652,503,1,35,2.86
"221",3652,783,1,35,2.86
"200",3463,167,2,72,2.78
"204",3463,686,2,72,2.78
"242",3771,783,1,36,2.78
"450",8537,181,1,36,2.78
"451",8537,574,1,36,2.78
"571",10751,71,1,36,2.78
"573",10751,167,1,36,2.78
"574",10751,2429,1,36,2.78
"592",10969,10,1,36,2.78
"593",10969,192,1,36,2.78
"846",16573,174,2,72,2.78
"873",17917,504,1,36,2.78
"891",21231,72,1,36,2.78
"893",21231,574,1,36,2.78
"137",2643,2,1,37,2.7
"139",2643,504,1,37,2.7
"243",3792,2,3,111,2.7
"251",3792,575,3,111,2.7
"452",8539,195,1,37,2.7
"453",8539,504,1,37,2.7
"544",10386,72,2,74,2.7
"546",10386,504,2,74,2.7
"547",10386,686,2,74,2.7
"548",10386,2429,2,74,2.7
"633",12378,71,1,37,2.7
"634",12378,174,1,37,2.7
"635",12378,504,1,37,2.7
"636",12378,574,1,37,2.7
"637",12378,575,1,37,2.7
"835",16435,5,1,37,2.7
"836",16435,195,1,37,2.7
"237",3768,71,2,75,2.67
"795",16134,2653,4,150,2.67
"412",7718,2,1,38,2.63
"413",7718,72,1,38,2.63
"415",7718,504,1,38,2.63
"416",7718,574,1,38,2.63
"102",2316,71,2,78,2.56
"106",2316,186,2,78,2.56
"306",5868,4,1,39,2.56
"324",5995,181,1,39,2.56
"448",8533,4,1,39,2.56
"599",10998,10,1,39,2.56
"600",10998,71,1,39,2.56
"639",12508,72,1,39,2.56
"640",12508,180,1,39,2.56
"642",12508,2977,1,39,2.56
"259",3821,574,2,79,2.53
"700",13577,2653,4,159,2.52
"128",2608,72,2,80,2.5
"132",2608,574,2,80,2.5
"133",2608,575,2,80,2.5
"164",2845,71,2,80,2.5
"166",2845,686,2,80,2.5
"167",2845,2429,2,80,2.5
"168",2845,2653,2,80,2.5
"401",7619,574,2,80,2.5
"423",7791,2,1,40,2.5
"424",7791,71,1,40,2.5
"426",7791,167,1,40,2.5
"427",7791,184,1,40,2.5
"428",7791,504,1,40,2.5
"456",8556,522,1,40,2.5
"457",8556,2494,1,40,2.5
"912",37141,2,2,81,2.47
"917",37141,574,2,81,2.47
"918",37141,2653,2,81,2.47
"54",902,167,2,82,2.44
"55",902,173,2,82,2.44
"56",902,174,2,82,2.44
"58",902,503,2,82,2.44
"67",923,174,3,123,2.44
"327",6012,2429,1,41,2.44
"530",9974,173,2,82,2.44
"531",9974,179,2,82,2.44
"532",9974,2653,2,82,2.44
"581",10880,195,1,41,2.44
"830",16354,195,1,41,2.44
"290",5490,575,2,83,2.41
"320",5934,574,2,84,2.38
"454",8544,186,1,42,2.38
"676",13547,174,1,42,2.38
"594",10970,10,1,43,2.33
"595",10970,195,1,43,2.33
"643",12566,2,3,130,2.31
"645",12566,174,3,130,2.31
"646",12566,2653,3,130,2.31
"744",14655,3,1,44,2.27
"745",14655,574,1,44,2.27
"746",14655,592,1,44,2.27
"747",14655,2653,1,44,2.27
"51",901,72,1,45,2.22
"357",6497,10,1,45,2.22
"358",6497,71,1,45,2.22
"360",6497,184,1,45,2.22
"361",6497,574,1,45,2.22
"352",6494,10,1,46,2.17
"353",6494,71,1,46,2.17
"354",6494,173,1,46,2.17
"355",6494,195,1,46,2.17
"356",6494,552,1,46,2.17
"437",7898,167,2,92,2.17
"519",9878,181,1,46,2.17
"520",9878,574,1,46,2.17
"522",9891,173,1,46,2.17
"589",10943,574,1,46,2.17
"30",705,575,2,93,2.15
"31",705,686,2,93,2.15
"294",5809,180,1,47,2.13
"295",5809,503,1,47,2.13
"296",5809,687,1,47,2.13
"587",10931,504,1,47,2.13
"588",10931,522,1,47,2.13
"604",11226,186,1,47,2.13
"207",3479,2,1,48,2.08
"209",3479,503,1,48,2.08
"210",3479,504,1,48,2.08
"211",3479,574,1,48,2.08
"230",3767,174,1,48,2.08
"231",3767,181,1,48,2.08
"232",3767,185,1,48,2.08
"235",3767,2653,1,48,2.08
"467",8616,518,1,48,2.08
"583",10910,72,1,48,2.08
"584",10910,192,1,48,2.08
"585",10910,574,1,48,2.08
"739",14596,70,1,48,2.08
"740",14596,71,1,48,2.08
"527",9973,181,1,49,2.04
"897",30468,167,2,98,2.04
"901",30468,783,2,98,2.04
"405",7708,2,3,148,2.03
"110",2474,2,2,99,2.02
"111",2474,167,2,99,2.02
"117",2474,574,2,99,2.02
"120",2474,783,2,99,2.02
"362",6544,185,1,50,2
"793",16134,592,3,150,2
"876",17994,783,1,50,2
"169",2850,2,1,51,1.96
"170",2850,174,1,51,1.96
"171",2850,504,1,51,1.96
"598",10993,2494,1,51,1.96
"741",14651,174,1,51,1.96
"926",41026,167,2,102,1.96
"931",41026,503,2,102,1.96
"934",41026,2653,2,102,1.96
"857",16838,72,1,52,1.92
"859",16838,181,1,52,1.92
"860",16838,186,1,52,1.92
"549",10538,2,2,105,1.9
"679",13551,167,2,105,1.9
"297",5859,2,2,108,1.85
"303",5859,503,2,108,1.85
"473",8802,167,1,54,1.85
"475",8802,179,1,54,1.85
"158",2770,179,2,110,1.82
"861",16840,174,1,55,1.82
"925",39114,2494,1,55,1.82
"245",3792,167,2,111,1.8
"248",3792,180,2,111,1.8
"23",628,173,1,56,1.79
"24",628,2429,1,56,1.79
"596",10972,2653,1,56,1.79
"17",496,574,1,57,1.75
"18",496,2653,1,57,1.75
"364",6569,574,1,57,1.75
"853",16814,2,1,57,1.75
"854",16814,167,1,57,1.75
"855",16814,174,1,57,1.75
"856",16814,574,1,57,1.75
"215",3650,71,1,58,1.72
"217",3650,503,1,58,1.72
"321",5947,1,1,58,1.72
"597",10990,504,1,59,1.69
"4",405,2,2,120,1.67
"5",405,71,2,120,1.67
"6",405,503,2,120,1.67
"7",405,575,2,120,1.67
"66",923,71,2,123,1.63
"69",923,574,2,123,1.63
"72",923,783,2,123,1.63
"223",3714,2,1,62,1.61
"224",3714,174,1,62,1.61
"225",3714,503,1,62,1.61
"226",3714,592,1,62,1.61
"430",7860,2,2,128,1.56
"434",7860,686,2,128,1.56
"561",10702,2,1,65,1.54
"563",10702,167,1,65,1.54
"564",10702,174,1,65,1.54
"85",2206,167,1,69,1.45
"87",2206,574,1,69,1.45
"88",2206,575,1,69,1.45
"89",2206,2653,1,69,1.45
"386",7175,574,1,69,1.45
"387",7175,2653,1,69,1.45
"759",15209,3,1,69,1.45
"760",15209,179,1,69,1.45
"761",15209,181,1,69,1.45
"762",15209,687,1,69,1.45
"763",15209,2429,1,69,1.45
"787",16020,504,1,69,1.45
"788",16020,575,1,69,1.45
"866",17112,174,1,69,1.45
"867",17112,179,1,69,1.45
"868",17112,575,1,69,1.45
"869",17112,2653,1,69,1.45
"346",6442,174,1,71,1.41
"197",3463,2,1,72,1.39
"198",3463,70,1,72,1.39
"199",3463,71,1,72,1.39
"201",3463,174,1,72,1.39
"202",3463,504,1,72,1.39
"203",3463,574,1,72,1.39
"205",3463,2429,1,72,1.39
"810",16230,72,1,72,1.39
"811",16230,574,1,72,1.39
"812",16230,575,1,72,1.39
"844",16573,2,1,72,1.39
"845",16573,167,1,72,1.39
"847",16573,574,1,72,1.39
"848",16573,686,1,72,1.39
"379",7170,71,1,73,1.37
"380",7170,167,1,73,1.37
"381",7170,174,1,73,1.37
"382",7170,574,1,73,1.37
"383",7170,592,1,73,1.37
"388",7347,167,1,74,1.35
"389",7347,574,1,74,1.35
"390",7347,2653,1,74,1.35
"407",7708,167,2,148,1.35
"543",10386,71,1,74,1.35
"603",11034,167,1,74,1.35
"236",3768,70,1,75,1.33
"238",3768,174,1,75,1.33
"239",3768,503,1,75,1.33
"240",3768,574,1,75,1.33
"241",3768,2653,1,75,1.33
"792",16134,575,2,150,1.33
"460",8579,72,2,151,1.32
"461",8579,167,2,151,1.32
"462",8579,184,2,151,1.32
"463",8579,575,2,151,1.32
"330",6165,2,1,77,1.3
"331",6165,71,1,77,1.3
"332",6165,174,1,77,1.3
"333",6165,179,1,77,1.3
"334",6165,180,1,77,1.3
"335",6165,181,1,77,1.3
"336",6165,186,1,77,1.3
"337",6165,503,1,77,1.3
"339",6165,686,1,77,1.3
"100",2316,3,1,78,1.28
"101",2316,70,1,78,1.28
"103",2316,167,1,78,1.28
"105",2316,180,1,78,1.28
"107",2316,503,1,78,1.28
"108",2316,686,1,78,1.28
"366",6579,552,1,78,1.28
"82",1790,686,1,79,1.27
"83",1790,2429,1,79,1.27
"254",3821,2,1,79,1.27
"255",3821,71,1,79,1.27
"256",3821,167,1,79,1.27
"257",3821,186,1,79,1.27
"258",3821,504,1,79,1.27
"466",8596,575,1,79,1.27
"777",15519,504,1,79,1.27
"689",13577,2,2,159,1.26
"126",2608,2,1,80,1.25
"127",2608,71,1,80,1.25
"129",2608,173,1,80,1.25
"131",2608,181,1,80,1.25
"163",2845,2,1,80,1.25
"398",7619,167,1,80,1.25
"399",7619,174,1,80,1.25
"400",7619,503,1,80,1.25
"402",7619,686,1,80,1.25
"913",37141,71,1,81,1.23
"914",37141,173,1,81,1.23
"915",37141,180,1,81,1.23
"916",37141,503,1,81,1.23
"57",902,181,1,82,1.22
"59",902,504,1,82,1.22
"60",902,575,1,82,1.22
"61",902,2653,1,82,1.22
"528",9974,2,1,82,1.22
"529",9974,71,1,82,1.22
"285",5490,71,1,83,1.2
"287",5490,174,1,83,1.2
"289",5490,574,1,83,1.2
"307",5879,70,1,84,1.19
"308",5879,174,1,84,1.19
"309",5879,504,1,84,1.19
"311",5879,686,1,84,1.19
"312",5879,2824,1,84,1.19
"780",15733,2,1,88,1.14
"781",15733,71,1,88,1.14
"782",15733,167,1,88,1.14
"783",15733,174,1,88,1.14
"784",15733,574,1,88,1.14
"785",15733,575,1,88,1.14
"602",11016,574,1,90,1.11
"436",7898,71,1,92,1.09
"438",7898,173,1,92,1.09
"439",7898,174,1,92,1.09
"440",7898,503,1,92,1.09
"441",7898,687,1,92,1.09
"26",705,71,1,93,1.08
"27",705,180,1,93,1.08
"28",705,181,1,93,1.08
"29",705,574,1,93,1.08
"32",705,2653,1,93,1.08
"665",13244,167,1,96,1.04
