"","codCentro","codArticulo","num_roturas","num_servicios","porcent_roturas"
"196",3450,2,1,1,100
"341",6217,72,1,1,100
"657",12782,172,1,1,100
"663",13109,575,1,1,100
"664",13223,575,1,1,100
"669",13247,575,1,1,100
"905",31500,2653,1,1,100
"971",43348,184,1,1,100
"443",8125,575,2,3,66.67
"145",2717,2,1,2,50
"391",7407,167,1,2,50
"656",12694,2,1,2,50
"702",13603,72,1,2,50
"874",17939,178,1,2,50
"903",31485,2653,1,2,50
"955",42319,187,1,2,50
"39",714,2,1,3,33.33
"45",826,528,2,6,33.33
"370",6969,167,1,3,33.33
"435",7869,2,1,3,33.33
"487",9251,185,1,3,33.33
"504",9708,10,1,3,33.33
"776",15497,2,1,3,33.33
"904",31491,178,1,3,33.33
"958",42421,187,2,6,33.33
"959",42650,187,1,3,33.33
"960",42679,2,1,3,33.33
"963",42876,187,1,3,33.33
"515",9850,178,2,7,28.57
"154",2749,167,1,4,25
"185",2945,167,4,16,25
"478",8914,2,2,8,25
"715",13615,72,3,12,25
"937",41637,173,1,4,25
"961",42727,187,1,4,25
"122",2494,167,2,9,22.22
"283",4987,167,2,10,20
"342",6266,2,1,5,20
"429",7855,184,1,5,20
"442",7910,72,1,5,20
"483",9150,2,1,5,20
"750",15016,167,2,10,20
"773",15346,178,1,5,20
"870",17120,504,1,5,20
"871",17614,173,1,5,20
"875",17969,167,1,5,20
"945",42191,167,1,5,20
"41",803,2,4,21,19.05
"78",1347,167,2,11,18.18
"968",43042,187,2,11,18.18
"765",15213,2,3,17,17.65
"886",20936,2,4,23,17.39
"13",447,2,3,18,16.67
"181",2887,72,2,12,16.67
"228",3754,72,1,6,16.67
"507",9770,72,1,6,16.67
"542",10313,167,3,18,16.67
"751",15070,167,1,6,16.67
"767",15276,178,1,6,16.67
"948",42214,174,1,6,16.67
"949",42214,187,1,6,16.67
"670",13251,2,2,13,15.38
"671",13251,167,2,13,15.38
"1",156,167,1,7,14.29
"46",838,687,1,7,14.29
"136",2624,2653,2,14,14.29
"194",3409,2,2,14,14.29
"274",4727,184,1,7,14.29
"505",9720,2,1,7,14.29
"732",14122,2,2,14,14.29
"778",15574,167,1,7,14.29
"885",20935,72,3,21,14.29
"946",42207,187,2,14,14.29
"947",42212,174,1,7,14.29
"950",42244,187,1,7,14.29
"964",42998,174,1,7,14.29
"183",2945,2,2,16,12.5
"191",3396,2,2,16,12.5
"392",7449,2,1,8,12.5
"393",7449,167,1,8,12.5
"484",9152,70,1,8,12.5
"705",13610,173,2,16,12.5
"706",13610,195,2,16,12.5
"797",16147,195,1,8,12.5
"820",16281,72,1,8,12.5
"939",42176,72,2,16,12.5
"952",42283,174,1,8,12.5
"64",921,72,3,25,12
"65",921,167,3,25,12
"688",13576,167,2,17,11.76
"476",8893,2,3,26,11.54
"713",13613,195,3,26,11.54
"222",3652,2653,4,35,11.43
"3",360,167,1,9,11.11
"14",447,574,2,18,11.11
"53",901,504,5,45,11.11
"90",2215,72,2,18,11.11
"146",2731,178,1,9,11.11
"175",2886,72,2,18,11.11
"277",4802,178,1,9,11.11
"293",5793,72,1,9,11.11
"378",7167,167,2,18,11.11
"486",9202,195,1,9,11.11
"619",11687,574,2,18,11.11
"672",13537,2,3,27,11.11
"686",13571,6,1,9,11.11
"703",13609,2,1,9,11.11
"704",13609,185,1,9,11.11
"722",13754,178,1,9,11.11
"731",13963,2429,1,9,11.11
"768",15300,2,1,9,11.11
"769",15300,187,1,9,11.11
"786",15845,72,1,9,11.11
"799",16171,167,2,18,11.11
"843",16522,504,1,9,11.11
"882",20931,2,3,27,11.11
"890",21231,2,4,36,11.11
"907",36893,72,3,27,11.11
"956",42338,187,1,9,11.11
"957",42367,187,1,9,11.11
"965",43027,174,1,9,11.11
"970",43099,187,1,9,11.11
"151",2748,2,3,28,10.71
"924",39111,167,2,19,10.53
"94",2276,72,1,10,10
"98",2280,167,2,20,10
"142",2662,2,3,30,10
