"","codCentro","codArticulo","num_roturas_no_promo","num_servicios_no_promo","num_roturas_promo","num_servicios_promo"
"196",2206,687,6,28,1,1
"197",2215,167,1,26,1,4
"198",2232,504,2,13,1,2
"199",2259,2,1,12,1,1
"200",2275,504,3,28,1,6
"201",2279,167,3,29,1,4
"202",2279,2,3,29,2,4
"203",2279,574,3,27,1,5
"204",2279,72,4,25,2,9
"205",2280,574,3,24,1,5
"206",2316,174,2,26,3,7
"207",2316,181,3,26,2,7
"208",2316,2,1,23,1,11
"209",2316,2977,14,23,1,1
"210",2316,592,8,28,4,5
"211",2316,687,7,25,2,2
"212",2316,70,5,31,1,2
"213",2316,71,4,27,1,4
"214",2474,174,4,23,1,10
"215",2474,503,3,23,1,8
"216",2474,686,1,25,2,6
"217",2474,70,1,24,3,7
"218",2545,167,1,23,1,4
"219",2545,2,3,23,2,4
"220",2545,72,1,21,1,6
"221",2608,2,1,20,1,8
"222",2608,2977,3,25,1,3
"223",2608,504,3,23,2,5
"224",2608,575,7,23,1,5
"225",2608,686,3,20,1,8
"226",2608,70,1,22,2,6
"227",2608,71,10,22,4,6
"228",2643,2,3,28,3,6
"229",2643,582,1,33,1,1
"230",2643,72,1,27,3,7
"231",2662,2,1,23,2,8
"232",2662,72,8,27,1,6
"233",2731,178,1,12,2,7
"234",2740,574,1,5,1,1
"235",2748,2,1,30,1,7
"236",2748,504,3,29,1,8
"237",2770,185,28,36,1,1
"238",2770,581,3,3,1,3
"239",2770,70,1,40,1,5
"240",2845,173,6,27,1,7
"241",2845,174,6,25,1,9
"242",2845,180,4,32,2,2
"243",2845,2,2,22,3,12
"244",2845,503,6,24,2,8
"245",2845,70,6,28,4,6
"246",2845,71,11,30,1,4
"247",2845,72,3,18,6,16
"248",2850,167,3,33,1,3
"249",2850,174,1,28,1,9
"250",2850,180,11,34,2,2
"251",2850,181,10,31,1,1
"252",2850,2,3,18,4,13
"253",2850,503,3,27,2,9
"254",2850,70,4,33,1,3
"255",2850,71,4,33,1,3
"256",2850,72,4,25,3,11
"257",2886,167,2,28,4,6
"258",2886,2,2,29,2,5
"259",2887,167,1,32,1,5
"260",2887,2,3,30,1,7
"261",2887,72,10,25,1,14
"262",2943,3,3,24,1,3
"263",2943,503,1,34,2,3
"264",2943,528,5,34,2,3
"265",2943,72,1,34,3,4
"266",2945,167,5,33,2,4
"267",2945,2,2,34,1,3
"268",2945,504,3,28,3,9
"269",2945,72,8,26,3,13
"270",2974,173,7,22,1,3
"271",2974,179,10,13,1,2
"272",2974,5,15,34,1,2
"273",2974,686,6,28,1,6
"274",30468,167,1,31,4,8
"275",30468,174,3,30,2,10
"276",30468,181,3,35,1,4
"277",30468,185,19,33,1,1
"278",30468,2,13,30,6,10
"279",30468,503,6,29,1,10
"280",30468,528,2,5,2,2
"281",3257,185,18,18,1,1
"282",3257,2,1,14,1,7
"283",3257,2653,11,18,2,2
"284",3257,2977,1,17,1,2
"285",3257,575,18,19,1,1
"286",3326,504,1,13,1,4
"287",3368,2,3,25,4,6
"288",3368,504,10,26,1,3
"289",3396,181,2,27,1,3
"290",3396,2,3,23,2,6
"291",3396,504,3,24,2,6
"292",3409,167,3,20,2,3
"293",3409,2,2,21,1,2
"294",3409,72,5,15,1,9
"295",3450,2,1,12,1,3
"296",3463,167,7,28,2,6
"297",3463,174,3,25,1,9
"298",3463,181,7,25,1,2
"299",3463,2,3,21,1,16
"300",3463,503,4,27,2,7
